well_letter,well_number,dep_V,dep_T
A,1,1.48,27.6
A,2,1.1,1.2
A,3,1.22,12.2
A,4,1.56,33.7
A,5,1.34,94.7
A,6,1.52,15
A,7,0.83,19.6
A,8,1.15,1.8
A,9,1.02,8.1
A,10,1.41,2.6
A,11,0.9,1.3
A,12,0.89,4.9
B,1,1.38,6.6
B,2,1.07,50.2
B,3,1.26,4.2
B,4,0.96,56.9
