well_id,L*_c,A*_c,B*_c,L*_b,A*_b,B*_b,deltaE,voltage,time,Charge Passed,Capacitance,Deposition Efficiency,bleachCP,Contrast Efficiency,Echromic Efficiency,concentration
A7,98.46942959,0.816882232,0.833722478,96.41750581,2.678611481,-0.125752742,2.93930697,0.83,19.6,1.536636181,0.062564554,24.56081083,0.678668388,2.93930697,4.330991425,0.1
B12,100,-0.002454938,0.004653421,98.84082956,0.804844364,1.906849119,2.247216232,1.362921311,50.50406742,10.07701615,0.070011772,143.9331677,0.800550353,2.247216232,2.807089178,0.01
C8,100,-0.002454938,0.004653421,99.11186101,0.471109484,1.787667701,1.90915917,1.120957751,4.800255552,3.299184902,0.044763919,73.70187855,0.598215629,1.90915917,3.191423089,0.01
B6,98.47156629,-0.661498974,-0.227037095,99.35969045,0.349245938,-0.948662504,1.719663108,0.832403577,20.65278532,0.135499962,0.035763676,3.78875941,0.179248415,1.719663108,9.593742353,0.01
B11,100,-0.002454938,0.004653421,99.38304367,0.138325583,1.669125686,1.654847411,1.096680145,66.35487927,8.707885525,0.056689987,153.6053546,0.702556801,1.654847411,2.355464225,0.01
B10,98.47156629,-0.661498974,-0.227037095,98.32224326,0.350078093,-0.950856058,1.645571514,0.898103037,7.539866894,0.070844048,0.037786795,1.874836103,0.190768776,1.645571514,8.626000272,0.01
D8,98.81752846,-0.661013548,-0.226852224,99.01413486,0.349522077,-0.949390448,1.645340585,0.866789927,4.302646073,0.040866844,0.032949563,1.240284839,0.13413755,1.645340585,12.2660701,0.03
C2,100,-0.002454938,0.004653421,99.18588438,0.988815133,0.355183302,1.549496238,0.996982271,28.19759552,1.726634129,0.043347961,39.83195767,0.407900009,1.549496238,3.798715871,0.01
C3,100,-0.002454938,0.004653421,99.1610899,0.815601057,0.832483772,1.511556099,1.50705351,1.044500861,1.380848027,0.038020799,36.31822744,0.557276732,1.511556099,2.712397652,0.01
B7,99.92678386,-0.331239969,-0.111047109,99.43230148,0.483766865,0.714656487,1.481273952,1.580441339,1.630583861,2.279775385,0.046784593,48.72919131,0.70797176,1.481273952,2.092278302,0.01
C4,100,-0.002454938,0.004653421,99.40761278,0.310723617,1.191795108,1.286666582,1.155223307,2.145634869,1.320282537,0.038695359,34.11991962,0.489560031,1.286666582,2.628210028,0.01
C5,99.18828559,-0.483808229,-0.703413816,99.35969045,0.349245938,-0.948662504,1.257342906,1.013504235,2.832101146,0.071695365,0.034658629,2.068615144,0.14512127,1.257342906,8.664084208,0.01
C1,99.35836272,0.153002906,0.597890258,98.81538993,0.816240174,0.833101679,1.036072496,1.2315587,13.20309211,2.393723738,0.04044083,59.19076683,0.538277624,1.036072496,1.924792058,0.01
B5,99.60533458,-0.351303728,0.958012567,99.40761278,0.310723617,1.191795108,1.013637043,1.413812047,15.28245176,6.607327309,0.045816008,144.2143818,0.639750696,1.013637043,1.584425073,0.01
B9,99.30958687,-0.002440326,0.004625725,99.06264333,0.502595268,-0.356082754,0.836020784,0.912147792,41.14075221,0.159784966,0.029523933,5.412048752,0.208379828,0.836020784,4.012004377,0.01
D9,97.877203,-0.156009238,-0.589833821,98.64316859,0.173363267,-0.472864246,0.672891551,0.842818578,5.874526581,0.046140113,0.034663881,1.331071745,0.128212552,0.672891551,5.248250214,0.03
C7,100,-0.002454938,0.004653421,99.97516478,-0.177075425,0.480886853,0.536995121,1.309069321,3.319612441,3.735779992,0.046413342,80.4893563,0.642637406,0.536995121,0.835611366,0.01
B8,99.97516478,-0.177075425,0.480886853,99.95044838,-0.351056076,0.957315146,0.524058943,1.252344976,6.501574726,3.821916005,0.048163532,79.35290135,0.683000882,0.524058943,0.767288823,0.01
A11,100,-0.002454938,0.004653421,100,-0.002454938,0.004653421,0,0.9,1.3,0.042201616,0.049358449,0.855002874,0.376127951,0,0,0.1
A12,100,-0.002454938,0.004653421,100,-0.002454938,0.004653421,0,0.89,4.9,0.110778911,0.027856625,3.976752844,0.27695286,0,0,0.1
